source,cpi_code,cpi_item,code,link_id,name,product_name,brand,weight,item_unit,base_unit,stock,stock_status,stock_level,price,discount_price,url,image_url,category_l1,category_l2,lebanon_category,date
carrefour,11101,Wheat (local),392248,392248,Zain Peeled Wheat 900GR,Zain Peeled Wheat 900GR,,900G,,,True,inStock,,1.2605,1.2605,https://www.carrefourlebanon.com/maflbn/en/black-eyed-peas/zain-peeled-wheeat-900g/p/392248,"https://cdn.mafrservices.com/sys-master-root/h9b/h84/35096168726558/392248_main.jpg?im=Resize=(300,300)",Food Cupboard,"Rice, Pasta & Pulses",111 - Bread and Cereals,2026-06-26
carrefour,11101,Wheat (local),72364,72364,Gardenia Grain DOr Peeled Wheat 907GR,Gardenia Grain DOr Peeled Wheat 907GR,,907G,,,True,lowStock,,1.4362,1.4362,https://www.carrefourlebanon.com/maflbn/en/black-eyed-peas/gardenia-peeled-wheat-907g/p/72364,"https://cdn.mafrservices.com/sys-master-root/h52/h56/50986495148062/72364_main.jpg?im=Resize=(300,300)",Food Cupboard,"Rice, Pasta & Pulses",111 - Bread and Cereals,2026-06-26
carrefour,11101,Wheat (local),362554,362554,Aoun Peeled Wheat 900GR,Aoun Peeled Wheat 900GR,,900G,,,True,inStock,,1.2399,1.2399,https://www.carrefourlebanon.com/maflbn/en/plain-white-flour/aoun-simple-wheat-900gm/p/362554,"https://cdn.mafrservices.com/sys-master-root/h88/hbb/32939841454110/362554_main.jpg?im=Resize=(300,300)",Food Cupboard,Sugar & Home Baking,111 - Bread and Cereals,2026-06-26
carrefour,11103,Wheat (ground),72368,72368,Gardenia Grain Dor Coarse Brown Bulgur 907GR,Gardenia Grain Dor Coarse Brown Bulgur 907GR,,907G,,,True,inStock,,1.4362,1.4362,https://www.carrefourlebanon.com/maflbn/en/burghol/gardenia-gross-brown-bulgur-907g/p/72368,"https://cdn.mafrservices.com/sys-master-root/haf/h0e/9189059264542/72368_main.jpg?im=Resize=(300,300)",Food Cupboard,"Rice, Pasta & Pulses",111 - Bread and Cereals,2026-06-26
carrefour,11103,Wheat (ground),478081,478081,Daabool Coarse Brown Bulgur 900GR,Daabool Coarse Brown Bulgur 900GR,,900G,,,True,inStock,,1.1366,1.1366,https://www.carrefourlebanon.com/maflbn/en/burghol/daabool-coarse-brown-bulgur-900g/p/478081,"https://cdn.mafrservices.com/pim-content/LBN/media/product/478081/1742821203/478081_main.jpg?im=Resize=(300,300)",Food Cupboard,"Rice, Pasta & Pulses",111 - Bread and Cereals,2026-06-26
carrefour,11106,Wheat flour with bran (local),398643,398643,Deroni Wheat Flour 900GR,Deroni Wheat Flour 900GR,,900G,,,True,inStock,,0.8782,0.8782,https://www.carrefourlebanon.com/maflbn/en/plain-white-flour/deroni-wheat-flour-900g/p/398643,"https://cdn.mafrservices.com/sys-master-root/h10/hfe/44848918233118/398643_main.jpg?im=Resize=(300,300)",Food Cupboard,Sugar & Home Baking,111 - Bread and Cereals,2026-06-26
carrefour,11106,Wheat flour with bran (local),265627,265627,Zain Flour 900GR,Zain Flour 900GR,,900G,,,True,inStock,,0.9299,0.9299,https://www.carrefourlebanon.com/maflbn/en/plain-white-flour/zain-flour-900gm/p/265627,"https://cdn.mafrservices.com/sys-master-root/h6b/h9b/50399315656734/265627_main.jpg?im=Resize=(300,300)",Food Cupboard,Sugar & Home Baking,111 - Bread and Cereals,2026-06-26
carrefour,11108,White flour-local,478123,478123,Daabool All Purpose Flour 900GR,Daabool All Purpose Flour 900GR,,900G,,,True,inStock,,0.9816,0.9816,https://www.carrefourlebanon.com/maflbn/en/plain-white-flour/daabool-all-purpose-flour-900g/p/478123,"https://cdn.mafrservices.com/pim-content/LBN/media/product/478123/1742821203/478123_main.jpg?im=Resize=(300,300)",Food Cupboard,Sugar & Home Baking,111 - Bread and Cereals,2026-06-26
carrefour,11108,White flour-local,355563,355563,Ocean Garden All Purpose Flour 900GR,Ocean Garden All Purpose Flour 900GR,,900G,,,True,inStock,,0.902,0.902,https://www.carrefourlebanon.com/maflbn/en/plain-white-flour/ocean-garden-all-purpose-flour-900g/p/355563,"https://cdn.mafrservices.com/sys-master-root/he5/h18/31533457965086/355563_main.jpg?im=Resize=(300,300)",Food Cupboard,Sugar & Home Baking,111 - Bread and Cereals,2026-06-26
carrefour,11109,white flour-imported,55257,55257,Gold Medal All Purpose Flour 1KG,Gold Medal All Purpose Flour 1KG,,1KG,,,True,inStock,,2.0768,2.0768,https://www.carrefourlebanon.com/maflbn/en/plain-white-flour/gold-medal-flour-1kg/p/55257,"https://cdn.mafrservices.com/sys-master-root/h46/hd2/45782863085598/55257_main.jpg?im=Resize=(300,300)",Food Cupboard,Sugar & Home Baking,111 - Bread and Cereals,2026-06-26
