source,cpi_code,cpi_item,code,link_id,name,product_name,brand,weight,item_unit,base_unit,stock,price,discount_price,url,image_url,category_l1,category_l2,lebanon_category,date
tawfeer,11108,White flour-local,55616,55616,Joud Flour Extra 900G,Joud Flour Extra 900G,,900G,,,,,,https://shop.tawfeer.market/shop/stores/24/Raouche/products/55616/Joud%20Flour%20Extra%20900G,,,,111 - Bread and Cereals,2026-06-14
tawfeer,11101,Wheat (local),51057,51057,Joud Peeled Wheat 900G,Joud Peeled Wheat 900G,,900G,,,,,,https://shop.tawfeer.market/shop/stores/24/Raouche/products/51057/Joud%20Peeled%20Wheat%20900G,,,,111 - Bread and Cereals,2026-06-14
tawfeer,11116,Rice American(all kinds),55613,55613,Joud American Rice 900G,Joud American Rice 900G,,900G,,,,,,https://shop.tawfeer.market/shop/stores/24/Raouche/products/55613/Joud%20American%20Rice%20900G,,,,111 - Bread and Cereals,2026-06-14
tawfeer,11103,Wheat (ground),49859,49859,Deroni Pulses Brown Hard Bourghol 900G,Deroni Pulses Brown Hard Bourghol 900G,,900G,,,,,,https://shop.tawfeer.market/shop/stores/24/Raouche/products/49859/Deroni%20Pulses%20Brown%20Hard%20Bourghol%20900G,,,,111 - Bread and Cereals,2026-06-14
tawfeer,11103,Wheat (ground),56559,56559,Joud Brown Hard Bourghoul 900G,Joud Brown Hard Bourghoul 900G,,900G,,,,,,https://shop.tawfeer.market/shop/stores/24/Raouche/products/56559/Joud%20Brown%20Hard%20Bourghoul%20900G,,,,111 - Bread and Cereals,2026-06-14
tawfeer,11115,Rice-Indian (Mezza-all kinds),65071,65071,Abu Rashed Indian Basmati Rice 4Kg,Abu Rashed Indian Basmati Rice 4Kg,,4KG,,,,,,https://shop.tawfeer.market/shop/stores/24/Raouche/products/65071/Abu%20Rashed%20Indian%20Basmati%20Rice%204Kg,,,,111 - Bread and Cereals,2026-06-14
tawfeer,11103,Wheat (ground),56447,56447,Joud White Hard Bourghoul 900G,Joud White Hard Bourghoul 900G,,900G,,,,,,https://shop.tawfeer.market/shop/stores/24/Raouche/products/56447/Joud%20White%20Hard%20Bourghoul%20900G,,,,111 - Bread and Cereals,2026-06-14
tawfeer,11114,"Rice-Phwar, bsmati, Anbar",60205,60205,Joud Basmati Rice 4Kg,Joud Basmati Rice 4Kg,,4KG,,,,,,https://shop.tawfeer.market/shop/stores/24/Raouche/products/60205/Joud%20Basmati%20Rice%204Kg,,,,111 - Bread and Cereals,2026-06-14
tawfeer,11117,White rice,83201,83201,Deroni Italian Type Rice 900G,Deroni Italian Type Rice 900G,,900G,,,,,,https://shop.tawfeer.market/shop/stores/24/Raouche/products/83201/Deroni%20Italian%20Type%20Rice%20900G,,,,111 - Bread and Cereals,2026-06-14
tawfeer,11117,White rice,54978,54978,Joud Italian Rice 900G,Joud Italian Rice 900G,,900G,,,,,,https://shop.tawfeer.market/shop/stores/24/Raouche/products/54978/Joud%20Italian%20Rice%20900G,,,,111 - Bread and Cereals,2026-06-14
tawfeer,11117,White rice,451272,451272,Deroni Egyptian Rice 4Kg + 1Kg Free,Deroni Egyptian Rice 4Kg + 1Kg Free,,4KG,,,,,,https://shop.tawfeer.market/shop/stores/24/Raouche/products/451272/Deroni%20Egyptian%20Rice%204Kg%20+%201Kg%20Free,,,,111 - Bread and Cereals,2026-06-14
tawfeer,11117,White rice,54983,54983,Joud Egyptian Rice 4Kg,Joud Egyptian Rice 4Kg,,4KG,,,,,,https://shop.tawfeer.market/shop/stores/24/Raouche/products/54983/Joud%20Egyptian%20Rice%204Kg,,,,111 - Bread and Cereals,2026-06-14
tawfeer,11122,Vermicelli,462977,462977,Panzani Vermicelli 500G,Panzani Vermicelli 500G,,500G,,,,,,https://shop.tawfeer.market/shop/stores/24/Raouche/products/462977/Panzani%20Vermicelli%20500G,,,,111 - Bread and Cereals,2026-06-14
